study,Arm,Year,ind_clu,ICC_for_cRCT,Country,Single_multi,Age_mean,Age_sd,Age_n,F_n,Hyp_n,Insomnia diagnosis,Dx,Primary insomnia_n,Comorbidities,Comment,se,sd,cr,th,cw,sr,sc,re,pi,w,dt,ns,he,tg,ind,gp,ff,ae,treatment_component,treatment_group,treatment_binary,duration_weeks,n,r,remission,def_remission_response,scale used,Severity_bl_mean,Severity_bl_sd,Severity_bl_n,Severity_ch_mean,Severity_ch_sd,Severity_ch_n,Severity_ep_mean,Severity_ep_sd,Severity_ep_n,Severity_scale,r_imputed,dropout,SE_mean,SE_sd,SE_n,TST_mean,TST_sd,TST_n,SOL_mean,SOL_sd,SOL_n,WASO_mean,WASO_sd,WASO_n,r_long,remission_long,r_long_scale_used,Severity_mean_long,Severity_sd_long,Severity_n_long,Severity_ch_mean_long,Severity_ch_sd_long,Severity_ch_n_long,r_imputed_long,r_imputed_long_scale_used,r_weeks_long,DropOutRate,Overall
Chao2021,CBT-I,2021,individual,*,USA,multi,55,7,39,11,*,1. formal_DSM,1,0,2. psy_others,Gulf war illness,1,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,se+sd+cr+sr+sc+dt+ns+ind,CBT,active,8,39,12,*,*,*,21,5,39,*,*,*,11,7,39,ISI,12,5,94,3.703703704,39,361.8,63,39,10,3.703703704,39,14,16,39,*,*,*,*,*,*,*,*,*,*,*,*,14.1,S
Chao2021,Waitlist,2021,individual,*,USA,multi,54,6,46,10,*,1. formal_DSM,1,0,2. psy_others,Gulf war illness,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,sd+w+dt+he,WL,control,8,46,1,*,*,*,19.5,4.7,46,*,*,*,18,5,46,ISI,1,7,78,11.85185185,46,351.6,118.8,46,24,23.7037037,46,44,45,46,*,*,*,*,*,*,*,*,*,*,*,*,14.1,S
Chapoutot2020,ACT-E-CBT,2020,Individual,*,France,multi,48,10,15,12,13,1. formal_ICSD,1,*,2. psy_substance_dependence,Hypnotic dependence,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,se+sd+cr+th+sr+sc+re+dt+ns+ind,CBT,active,8,16,4,*,*,*,21,4.4,15,*,*,*,10.7,5.2,15,ISI,4,1,85.2,2.3,15,390,12,15,12,6,15,18,18,15,*,*,*,*,*,*,*,*,*,*,*,*,6.3,S
Chapoutot2020,WLC,2020,Individual,*,France,multi,48,10,15,12,12,1. formal_ICSD,1,*,2. psy_substance_dependence,,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,sd+w+dt,WL,control,8,16,0,*,*,*,19.2,3.9,15,*,*,*,17.2,3.5,15,ISI,0,1,79.1,2.2,15,378,12,15,36,6,15,36,30,15,*,*,*,*,*,*,*,*,*,*,*,*,6.3,S
Cheng2019,dCBT-I,2019,Individual,*,USA,multi,44.5,15.8,358,279,24,1. formal_DSM,1,*,1. primary_secondary_mixed,,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,se+sd+cr+sr+sc+re+pi+dt+ns+he+ae,CBT,active,12,946,193,193,ISI<8,ISI,17.9,4.3,358,-10,5.7,358,7.8,5.676266379,358,ISI,171,588,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,52.5,H
Cheng2019,Sleep education,2019,Individual,*,USA,multi,45.7,15.1,300,240,18,1. formal_DSM,1,*,1. primary_secondary_mixed,,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,se+dt+ns,PE,control,12,439,42,42,ISI<8,ISI,17.7,4.4,300,-4.4,4.6,300,13.2,5.196152423,300,ISI,41,139,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,52.5,H
Christensen2016,HealthWatch,2016,Individual,*,Australia,multi,42.51,12.24,575,423,*,3. others,3,575,0. primary_insomnia,,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,sd+dt+ns+ae,PE,control,6,575,123,*,*,*,16.23,4.32,575,*,*,*,13.2,7.193747285,575,ISI,123,242,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,12.1,7.03562364,550,*,*,*,3,ISI,26,49.4,L
Christensen2016,SHUTi,2016,Individual,*,Australia,multi,42.95,12.17,574,422,*,3. others,3,574,0. primary_insomnia,,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,se+sd+cr+sr+sc+dt+ns+ae,CBT,active,6,574,293,*,*,*,15.92,4.18,574,*,*,*,7.3,7.18748913,574,ISI,293,326,*,*,*,*,*,*,*,*,*,*,*,*,3,*,*,7.7,7.18748913,574,*,*,*,3,ISI,26,49.4,L
Chung2023,CBTI,2023,individual,*,Hong Kong,multi,47.95,11.63,102,78,56,1. formal_DSM,1,0,2. psy_mixed,,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,se+sd+cr+sr+sc+re+dt+ns+gp+ff,CBT,active,8,102,9,9,ISI<7,ISI,17.3,5.352737617,102,*,*,*,14,5.857712864,102,ISI,14,25,*,*,*,*,*,*,*,*,*,*,*,*,16,16,ISI,9,6.160698012,102,*,*,*,41,ISI,48,21,S
Chung2023,No CBTI,2023,individual,*,Hong Kong,multi,45.63,11.75,98,66,56,1. formal_DSM,1,0,2. psy_mixed,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,dt,NT,control,8,98,9,9,ISI<7,ISI,17.9,5.345727266,98,*,*,*,15.5,5.642712114,98,ISI,8,17,*,*,*,*,*,*,*,*,*,*,*,*,12,12,ISI,10.1,6.335676759,98,*,*,*,33,ISI,48,21,S
Craner2022,IPRP+CBT-I,2022,individual,*,USA,single,53.42,15.03,26,21,3,2. informal_ISI,2,0,3. phy_others,chronic pain,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,se+sd+cr+th+sr+sc+re+dt+ns+ind+gp+ff,CBT,active,10,55,4,4,ISI<8,ISI,17.88,6.18,26,*,*,*,12.86,7.46,22,ISI,5,29,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,43,H
Craner2022,IPRP-UC,2022,individual,*,USA,single,48.83,16.68,24,20,2,2. informal_ISI,2,0,3. phy_others,chronic pain,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1,0,se+th+re+w+dt+ns+ind+ff,CBT,active,10,24,7,7,ISI<8,ISI,18,6.23,24,*,*,*,12.28,8.78,18,ISI,5,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,43,H
Currie2000,CBT,2000,individual,*,Canada,multi,45,8,32,*,11,1. formal_DSM,1,0,4. psy_phy_mixed,chronic pain + mild depression,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,se+sd+cr+sr+sc+re+dt+ns+gp+ff,CBT,active,7,32,7,7,PSQI<6,PSQI,13.6,3.7,32,*,*,*,8.8,3.5,32,PSQI,6,1,85,11,32,366,96,32,28.1,19,32,40.2,40.6,32,10,10,PSQI,7.9,3.7,32,*,*,*,8,PSQI,19,5,S
Currie2000,WLC,2000,individual,*,Canada,multi,45,8,28,*,9,1. formal_DSM,1,0,4. psy_phy_mixed,chronic pain + mild depression,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,sd+w+dt+he,WL,control,7,28,1,1,PSQI<6,PSQI,14.2,2.7,28,*,*,*,12.7,3.4,28,PSQI,0,2,70,18,28,330,84,28,58.2,54.7,28,91.5,67.1,28,0,0,PSQI,13.5,3.6,28,*,*,*,0,PSQI,19,5,S
Currie2004,Individual therapy,2004,individual,*,Canada,multi,43.3,10.9,20,6,3,1. formal_DSM,1,0,2. psy_substance_dependence,alcoholics,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,se+sd+cr+sr+sc+re+dt+ns+ind+ff,CBT,active,7,20,6,6,PSQI<6,PSQI,13.3,3.4,16,*,*,*,6.7,3.4,16,PSQI,6,4,87.3,8.8,16,402,72,16,22.3,13.7,16,36.9,31.7,16,*,*,*,*,*,*,*,*,*,*,*,*,20,H
Currie2004,Self-help manual,2004,individual,*,Canada,multi,43.3,10.9,20,6,3,1. formal_DSM,1,0,2. psy_substance_dependence,alcoholics,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,se+sd+cr+sr+sc+re+dt+ns+he+tg,CBT,active,7,20,3,3,PSQI<6,PSQI,12.4,3.7,15,*,*,*,9.1,4.2,15,PSQI,3,5,87.1,9.3,15,390,96,15,25,19.8,15,40.9,40.5,15,*,*,*,*,*,*,*,*,*,*,*,*,20,H
Currie2004,Wait-list,2004,individual,*,Canada,multi,43.3,10.9,20,6,2,1. formal_DSM,1,0,2. psy_substance_dependence,alcoholics,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,sd+w+dt,WL,control,7,20,1,1,PSQI<6,PSQI,13.4,3.4,17,*,*,*,11.1,4.2,17,PSQI,2,3,78.3,13.4,17,342,72,17,64.5,68.4,17,47,34.4,17,*,*,*,*,*,*,*,*,*,*,*,*,20,H
Daren2012,Intervention,2012,individual,*,USA,single,52.22,18.81,5,3,2,1. formal_DSM,1,0,4. psy_phy_mixed,,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,se+sd+sr+sc+dt+ns+ind+ff,BT,active,4,5,3,*,*,*,67.8,16.57,5,*,*,*,27.8,27.09,5,WASO,3,0,79.37,6.61,5,348.55,33.61,5,25.68,6.43,5,27.8,27.09,5,*,*,*,*,*,*,*,*,*,*,*,*,0,H
Daren2012,Control,2012,individual,*,USA,single,52.22,18.81,4,2,2,1. formal_DSM,1,0,4. psy_phy_mixed,,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,se+sd+dt,PE,control,4,4,1,*,*,*,23.2,18.53,4,*,*,*,44.6,30.29,4,WASO,1,0,83.82,7.39,4,405.7,37.57,4,18.2,7.18,4,44.6,30.29,4,*,*,*,*,*,*,*,*,*,*,*,*,0,H
Dean2019,Experimental,2019,individual,*,USA,multi,65.63,7.26,16,10,*,2. informal_ISI,2,0,3. phy_cancer,,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,se+sd+sr+sc+dt+ns+ind+ff,BT,active,4,21,9,*,*,*,11.31,5.36,16,*,*,*,6.94,5.27,16,ISI,9,5,85.21,20.54,14,438.91,121.98,14,19.58,24.64,14,25.1,41.89,14,*,*,*,*,*,*,*,*,*,*,*,*,25,S
Dean2019,Control,2019,individual,*,USA,multi,65.86,8.08,14,9,*,2. informal_ISI,2,0,3. phy_cancer,,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,sd+dt+ns+ind+ff,PE,control,4,19,1,*,*,*,14.79,4.79,14,*,*,*,15.07,4.42,14,ISI,1,5,79.7,10.21,11,415.41,50.37,11,64.51,50.12,11,24.04,35.31,11,*,*,*,*,*,*,*,*,*,*,*,*,25,S
Dekker2020,ICBTI w 6-9,2020,individual,*,Netherlands,Multi,50.6,11,88,73,0,1. formal_DSM,1,*,1. primary_secondary_mixed,,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,sd+w+ns,WL,control,4,88,3,*,*,*,16.1,4,88,*,*,*,15.1,4.4,82,ISI,3,5,75.3,12.7,83,358.8,66.1,83,36.6,37.2,83,105.5,78,83,*,*,*,*,*,*,*,*,*,*,*,*,4.6,S
Dekker2020,ICBTI w 1-4,2020,individual,*,Netherlands,Multi,51.3,11.5,87,65,0,1. formal_DSM,1,*,1. primary_secondary_mixed,,1,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,se+sd+cr+sr+sc+re+ns+he+tg,CBT,active,4,87,16,*,*,*,16.6,3.9,87,*,*,*,11.4,4.6,81,ISI,16,3,80,13.9,84,356.5,70.1,84,30.4,40.9,84,73.3,82.4,84,*,*,*,*,*,*,*,*,*,*,*,*,4.6,S
Dirksen2008,CC,2008,Individual,*,USA,single,59.2,10.7,38,41,17,3. others,3,0,3. phy_cancer,,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,se+sd+dt+ns+ind+gp+ff,PE,control,6,41,2,*,,,22.71,4.02,41,,,,16.31,5.03,38,ISI,2,3,,,,,,,,,,,,,*,*,*,*,*,*,*,*,*,*,*,*,11.1,S
Dirksen2008,CBT-I,2008,Individual,*,USA,single,57.2,9.9,34,40,17,3. others,3,0,3. phy_cancer,,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,se+sd+sr+sc+dt+ns+ind+gp+ff,BT,active,6,40,3,*,,,23.91,4.27,40,,,,14.38,5.31,34,ISI,3,6,,,,,,,,,,,,,*,*,*,*,*,*,*,*,*,*,*,*,11.1,S
Drake2019,CBTI,2019,individual,*,USA,multi,55.32,5.9,50,50,*,1. formal_DSM,1,0,3. phy_menopause,,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,se+sd+cr+sr+sc+re+ns+ind+ff,CBT,active,6,52,27,27,ISI<8,ISI,14.94,3.97,50,*,*,*,7.24,4.18,50,ISI,26,2,86,14,50,373,78,50,16.12,10.09,50,22.11,15.32,50,29,29,ISI,6.95,5.26,41,*,*,*,22,ISI,30,2.6,H
Drake2019,SHE,2019,individual,*,USA,multi,57.24,5.55,50,50,*,1. formal_DSM,1,0,3. phy_menopause,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,se+sd+ns,PE,control,6,50,2,2,ISI<8,ISI,15.36,4.36,50,*,*,*,14.24,4.49,50,ISI,3,0,76,14,50,361,66,50,25.3,18.31,50,46.03,32.61,50,6,6,ISI,13.44,4.64,43,*,*,*,4,ISI,30,2.6,H
Drake2019,SRT,2019,individual,*,USA,multi,56.76,5.39,50,50,*,1. formal_DSM,1,0,3. phy_menopause,,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,sd+sr+ns+ind+ff,BT,active,2,52,19,19,ISI<8,ISI,15.2,3.67,50,*,*,*,8.64,4.18,50,ISI,20,2,83,13,50,353,74,50,18.35,10.43,50,30.28,21.89,50,24,24,ISI,8.12,4.25,42,*,*,*,19,ISI,26,2.6,H
Dyrberg2022,CBT-I,2022,individual,*,Denmark,single,36.05,*,22,14,*,1. formal_DSM,1,0,2. psy_MDD,,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,se+sd+cr+sr+sc+re+dt+ns+ind+gp+ff,CBT,active,6,23,3,*,*,*,20.6,2.7,22,*,*,*,12.1,4.7,16,ISI,3,7,83.4,13.71714256,16,379.3,68.3,16,36.1,38.1,16,19,16.4,16,*,*,*,*,*,*,*,*,*,*,*,*,25.5,H
Dyrberg2022,TAU,2022,individual,*,Denmark,single,38.26,*,19,14,*,1. formal_DSM,1,0,2. psy_MDD,,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,se+sd+w+dt+ns+ind+ff,WL,control,6,24,2,*,*,*,21,3.1,19,*,*,*,17.7,7.3,19,ISI,2,5,72.1,13.42832827,19,361.5,112.8,19,102.5,131.9,19,43.8,41.1,19,*,*,*,*,*,*,*,*,*,*,*,*,25.5,H
Edinger2001,Relaxation training,2001,individual,*,USA,multi,54.5,10.2,25,11,9,1. formal_DSM,1,25,0. primary_insomnia,,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,sd+re+ns+ind+ff,RT,active,6,25,8,8,ISQ<42,other_self_reported_scales,58.5,11.2,25,*,*,*,47.6,13,25,other_self_reported_scales,8,2,78.1,8,25,362,43,25,*,*,*,44.4,21,25,*,*,*,*,*,*,*,*,*,*,*,*,6.7,S
Edinger2001,Placebo therapy,2001,individual,*,USA,multi,55.7,9.5,25,13,4,1. formal_DSM,1,25,0. primary_insomnia,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,sd+ns+ind+ff,PE,control,6,25,5,5,ISQ<42,other_self_reported_scales,51.7,14,25,*,*,*,52.9,13,25,other_self_reported_scales,5,1,76.2,8,25,361,42,25,*,*,*,47.1,21,25,*,*,*,*,*,*,*,*,*,*,*,*,6.7,S
Edinger2001,CBT,2001,individual,*,USA,multi,55.8,12.2,25,11,4,1. formal_DSM,1,25,0. primary_insomnia,,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,se+sd+cr+sr+sc+ns+ind+ff,CBT,active,6,25,16,16,ISQ<42,other_self_reported_scales,54.4,12.4,25,*,*,*,41.9,12.5,25,other_self_reported_scales,12,2,84.3,8.5,25,360,42,25,*,*,*,28.1,21,25,*,*,*,*,*,*,*,*,*,*,*,*,6.7,S
Edinger2003,ACBT,2003,individual,*,USA,multi,51,13.7,10,1,0,1. formal_DSM,1,10,0. primary_insomnia,,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,se+sd+sr+sc+ns+ind+ff,BT,active,2,10,2,*,ISQ<42,other_self_reported_scales,58.1,13.4,10,*,*,*,48,8.221921916,10,other_self_reported_scales,2,1,80,7.273238618,10,349.5,53.12626469,10,30.8,12.33288287,10,54.2,28.77672671,10,5,5,other_self_reported_scales,42.9,7.90569415,10,*,*,*,4,other_self_reported_scales,14,20,H
Edinger2003,SHC,2003,individual,*,USA,multi,51,13.7,10,1,0,1. formal_DSM,1,10,0. primary_insomnia,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,se+sd+ns+ind+ff,PE,control,2,10,0,*,ISQ<42,other_self_reported_scales,63.6,17.4,10,*,*,*,61.3,8.1,9,other_self_reported_scales,0,3,72.3,7.273238618,10,342,53.12626469,10,30.5,12.33288287,10,98.5,28.77672671,10,0,0,other_self_reported_scales,61.3,8.1,9,*,*,*,0,other_self_reported_scales,14,20,H
Edinger2005,CBT,2005,individual,*,USA,multi,50.1,6.9,18,17,9,1. formal_DSM,1,0,3. phy_fibromyalgia,,1,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,se+sd+cr+sr+sc+dt+ns+ind+ff,CBT,active,6,18,10,*,*,*,49.3,18.4,16,*,*,*,36.3,15.6,16,other_self_reported_scales,10,3,88,6.4,16,433.2,50.4,16,17,14,16,34.1,14.8,16,12,*,*,34.7,11.2,16,*,*,*,12,other_self_reported_scales,30,12.8,H
Edinger2005,SH,2005,individual,*,USA,multi,46.5,9,18,17,8,1. formal_DSM,1,0,3. phy_fibromyalgia,,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,se+sd+dt+ns+ind+ff,PE,control,6,18,13,*,*,*,54.9,16.4924225,17,*,*,*,30.5,13.60624856,17,other_self_reported_scales,13,1,84.7,7.009279564,17,424.8,61.84658438,17,15.1,11.13238519,17,50.5,28.44942882,17,13,*,*,31.3,12.78162744,17,*,*,*,13,other_self_reported_scales,30,12.8,H
Edinger2005,UC,2005,individual,*,USA,multi,48.3,9.1,11,11,4,1. formal_DSM,1,0,3. phy_fibromyalgia,,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,sd+w+dt+ind+ff,WL,control,6,11,2,*,*,*,53.6,12.6,9,*,*,*,53.2,14.7,9,other_self_reported_scales,2,2,83.3,7.2,9,432.5,54.3,9,15.9,16.8,9,65.7,31.2,9,2,*,*,52.9,16.2,9,*,*,*,2,other_self_reported_scales,30,12.8,H
Edinger2007,CBT combined,2007,individual,*,USA,Multi,55.9,10,75,39,*,1. formal_DSM,1,75,0. primary_insomnia,,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,se+sd+sr+sc+ns+ind+ff,BT,active,NA,75,32,32,"(a) a 50% reduction in their total
ISQ scores from baseline to week 8 of treatment; or (b) an ISQ
score in the pathological range (i.e., > 41) at baseline and a score
in the normal range (i.e. < 42)",other_self_reported_scales,55,13.2,74,*,*,*,39.4,15.5,69,other_self_reported_scales,36,6,83.5,7.9,66,371.3,49.4,66,16.4,12.3,66,57.4,33.5,66,*,*,*,*,*,*,*,*,*,*,*,*,9.3,H
Edinger2007,WL,2007,individual,*,USA,Multi,52.4,7.3,11,4,*,1. formal_DSM,1,11,0. primary_insomnia,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,sd+w,WL,control,NA,11,0,0,"(a) a 50% reduction in their total
ISQ scores from baseline to week 8 of treatment; or (b) an ISQ
score in the pathological range (i.e., > 41) at baseline and a score
in the normal range (i.e. < 41)",other_self_reported_scales,51.4,15.1,11,*,*,*,51.4,14.4,9,other_self_reported_scales,2,2,80.1,5.8,8,376.3,37.1,8,15.6,9.1,8,73.1,24.1,8,*,*,*,*,*,*,*,*,*,*,*,*,9.3,H
Edinger2009,SH,2009,individual,*,USA,multi,54,13.7,40,5,20,1. formal_Edinger2004,1,20,1. primary_secondary_mixed,,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,se+sd+dt+ns+ind+ff,PE,control,8,40,10,10,PSQI<6,PSQI,11.8,3.794733192,40,*,*,*,7.8,4.427188724,40,PSQI,12,7,82.6,9.4,38,375.8,80.6,38,29.7,16.6,38,47,24.9,38,14,*,*,7.6,5.059644256,40,*,*,*,14,PSQI,32,14.8,S
Edinger2009,CBT,2009,individual,*,USA,multi,54.4,13.9,41,6,18,1. formal_Edinger2004,1,20,1. primary_secondary_mixed,,1,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,se+sd+cr+sr+sc+dt+ns+ind+ff,CBT,active,8,41,19,19,PSQI<6,PSQI,12.4,3.201562119,41,*,*,*,7.1,4.482186966,41,PSQI,15,5,84.8,10.4,37,358.1,78.2,37,25.7,16.7,37,33,25.7,37,13,*,*,8,5.12249939,41,*,*,*,13,PSQI,32,14.8,S
ElRafahiFerreira2021,CBT-I,2021,individual,*,Brazil,multi,40.2,10.5,23,14,7,1. formal_DSM,1,*,1. primary_secondary_mixed,,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,se+sd+cr+sr+sc+dt+ns+gp+ff,CBT,active,6,23,8,*,*,*,16.4,3.5,14,*,*,*,7.2,3.2,14,ISI,8,7,87.7,5.2,14,339.4,52.7,14,18.1,11.3,14,15,11.5,14,6,*,*,9,6.1,14,*,*,*,6,ISI,30,26.7,H
ElRafahiFerreira2021,ACT-BBI-I,2021,individual,*,Brazil,multi,40.2,10.5,22,13,6,1. formal_DSM,1,*,1. primary_secondary_mixed,,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,se+sd+th+sr+sc+dt+ns+gp+ff,CBT,active,6,22,5,*,*,*,19.1,4.3,17,*,*,*,10.6,5.1,17,ISI,5,5,82.4,11.7,17,369.5,64.9,17,43.8,43.8,17,8.7,5.9,17,5,*,*,9.5,3.6,17,*,*,*,5,ISI,30,26.7,H
ElRafahiFerreira2022,ACT-I,2022,individual,*,Brazil,multi,44.2,11.4,18,14,*,1. formal_DSM,1,*,1. primary_secondary_mixed,,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,se+sd+th+dt+ns+gp+ff,CT,active,6,19,4,4,ISI<8,ISI,20.6,4.7,18,*,*,*,12,5.5,18,ISI,4,1,76.7,10.6,18,375.7,77.4,18,39.5,27.5,18,126,106,18,6,6,ISI,11,5.9,18,*,*,*,5,ISI,30,5.4,L
ElRafahiFerreira2022,CBT-I,2022,individual,*,Brazil,multi,43.3,10,17,12,*,1. formal_DSM,1,*,1. primary_secondary_mixed,,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,se+sd+cr+sr+sc+dt+ns+gp+ff,CBT,active,6,18,10,10,ISI<8,ISI,19.6,4.5,17,*,*,*,10.2,7.1,17,ISI,6,1,88.9,10.4,17,376.2,57.6,17,15.1,24.2,17,60.9,43.6,17,7,7,ISI,12,6.9,17,*,*,*,4,ISI,30,5.4,L
Epstein2007,Control,2007,individual,*,USA,multi,59.1,10.6,38,38,23,1. formal_DSM,1,11,3. phy_cancer,,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,se+sd+dt+ns+ind+gp+ff,PE,control,6,41,8,*,*,*,-2.8,0.5,38,*,*,*,-3.1,0.5,38,other_self_reported_scales,8,3,81.2,7.7,38,405.1,52.7,38,27.6,25.3,38,32.6,31.41,38,*,*,*,*,*,*,*,*,*,*,*,*,11.1,S
Epstein2007,Multicomponent intervention,2007,individual,*,USA,multi,57.1,9.8,34,34,13,1. formal_DSM,1,16,3. phy_cancer,,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,se+sd+sr+sc+dt+ns+ind+gp+ff,BT,active,6,40,4,*,*,*,-2.6,0.4,34,*,*,*,-2.8,0.6,34,other_self_reported_scales,4,6,84.5,7.9,34,396,44.2,34,21.1,17,34,28.5,22.45,34,*,*,*,*,*,*,*,*,*,*,*,*,11.1,S
Eptein2012,SCT,2012,individual,*,USA,multi,70.95,8.33,44,31,0,3. others,3,44,0. primary_insomnia,,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,se+sd+sc+ns+ind+gp+ff,BT,active,6,44,11,11,ISI<8,ISI,16.2,4.5,44,*,*,*,9.36,4.709607202,44,ISI,15,6,81.52,7.893567001,44,380.3,41.98846985,44,17.04,19.83341625,44,40.32,27.66065075,44,*,*,*,*,*,*,*,*,*,*,*,*,14,S
Eptein2012,WLC,2012,individual,*,USA,multi,69.5,8.34,50,29,0,3. others,3,50,0. primary_insomnia,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,sd+w,WL,control,6,50,2,2,ISI<8,ISI,16.2,4.35,50,*,*,*,14.48,4.808326112,50,ISI,4,12,68.29,8.343860018,50,338.26,44.12346315,50,43.24,20.08183259,50,66.91,28.99137803,50,*,*,*,*,*,*,*,*,*,*,*,*,14,S
Eptein2012,MCI,2012,individual,*,USA,multi,67.22,6.55,41,27,0,3. others,3,41,0. primary_insomnia,,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,se+sd+sr+sc+ns+ind+gp+ff,BT,active,6,41,16,16,ISI<8,ISI,14.95,3.63,41,*,*,*,9.23,4.546218209,41,ISI,14,2,84.14,7.5556866,41,374,39.95549524,41,20.46,18.4409978,41,32.38,26.25280937,41,*,*,*,*,*,*,*,*,*,*,*,*,14,S
Eptein2012,SRT,2012,individual,*,USA,multi,68,8.25,44,25,0,3. others,3,44,0. primary_insomnia,,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,se+sd+sr+ns+ind+gp+ff,BT,active,6,44,8,8,ISI<8,ISI,15.52,3.96,44,*,*,*,9.54,4.842272194,44,ISI,15,5,81.05,7.827234505,44,362.81,41.32514489,44,23.6,18.90476131,44,36.27,27.32898827,44,*,*,*,*,*,*,*,*,*,*,*,*,14,S
Espie1989,Paradoxical intention,1989,individual,*,UK,multi,43.7,15.8,15,12,*,3. others,3,15,0. primary_insomnia,,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,sd+pi+dt+ns+ind+ff,BT,active,8,18,6,6,SOL<30,SOL,72.4,49.9,15,*,*,*,35.8,25.2,13,SOL,5,3,*,*,*,392.4,67.4,13,35.8,25.2,13,*,*,*,3,*,*,40.7,25.2,8,*,*,*,3,SOL,32,17.6,S
Espie1989,Placebo,1989,individual,*,UK,multi,42.4,15.3,14,10,*,3. others,3,14,0. primary_insomnia,,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,sd+dt+ns+ind+ff,PE,control,8,17,2,2,SOL<30,SOL,85.5,30.6,14,*,*,*,63.5,25.2,14,SOL,1,3,*,*,*,349.2,67.4,14,63.5,25.2,14,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,17.6,S
